index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
312,NCCCCO,89.13799999999993,330.532,297.691,448.423,665.845,47.5488,301.83,1.002,-81.71,-241.651,62.907,22.99,0.089,,,,NCCCCO at 298K
313,OCCCCCCCCCO,160.25700000000018,458.487,313.17,556.121,730.052,27.7236,570.98,0.954,-241.626,-528.269,102.356,30.501,0.168,,,,OCCCCCCCCCO at 298K
314,CC(O)COCC(C)O,134.175,304.019,270.82,482.122,647.261,34.7764,415.76,1.04,-399.511,-620.823,50.325,20.114,0.129,,,,CC(O)COCC(C)O at 298K
315,OCCSCCO,122.18899999999994,359.569,304.299,514.591,701.358,47.353,342.14,1.222,-256.205,-392.661,88.531,18.378,0.1,,,,OCCSCCO at 298K
316,OCCNCCO,105.13699999999994,412.176,320.669,512.59,708.554,47.6143,357.14,1.084,-222.75,-403.448,85.133,23.531,0.097,,,,OCCNCCO at 298K
317,CCCCOCCCO,132.20299999999997,360.643,261.864,477.537,645.155,29.5567,462.07,0.905,-234.481,-464.873,68.845,21.51,0.146,,,,CCCCOCCCO at 298K
318,NCCCCCN,102.18099999999993,301.494,299.183,456.492,642.569,36.7384,418.17,0.751,127.127,-78.15,59.752,31.556,0.136,,,,NCCCCCN at 298K
319,CN(C)CCCN,102.18099999999993,313.124,246.848,410.113,611.962,33.9722,399.84,0.838,173.421,-34.728,49.041,23.155,0.122,,,,CN(C)CCCN at 298K
320,SCCCCCS,136.28500000000005,317.201,221.059,488.304,682.217,35.1477,397.13,1.048,46.952,-71.085,59.486,23.4,0.13,,,,SCCCCCS at 298K
321,N#CCCCC#N,94.11699999999996,354.739,246.681,499.655,777.329,31.0537,350.59,1.023,242.545,170.075,59.037,15.063,0.092,,,,N#CCCCC#N at 298K
322,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC,639.0150000000032,738.868,382.588,796.573,924.463,3.8756,2290.37,0.936,-676.582,-1818.473,223.061,103.3,0.683,,,,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC at 298K
323,C1=Cc2ccccc2C1,116.16299999999994,270.932,283.287,462.892,696.683,40.3643,336.07,1.117,231.969,136.117,47.766,9.519,0.104,4663.027,40.142,339.527,C1=Cc2ccccc2C1 at 298K
